City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Kerema,PG,79.63,overcast clouds,-7.9631,145.7785,Frena Lodge
586,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
590,Vijayapuri,IN,78.8,haze,11.2333,77.5,Tech Reporter
593,Gulabpura,IN,75.79,clear sky,25.9,74.6667,Hotel N chandra
594,Phan Thiet,VN,77.23,overcast clouds,10.9333,108.1,Hotel Saigon-PT
597,Palmas,BR,82.4,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
609,Miracema Do Tocantins,BR,78.57,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
610,Hurghada,EG,78.8,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
612,Najran,SA,75.2,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
618,Sao Francisco,BR,75.06,few clouds,-15.9486,-44.8644,Hotel Supremo
621,Bitung,ID,75.2,scattered clouds,1.4451,125.1824,K2 Lembeh
622,Sambava,MG,75.4,broken clouds,-14.2667,50.1667,Melrose
626,Soyo,AO,79.72,overcast clouds,-6.1349,12.3689,Hotel Mpampa
628,Pahrump,US,75.0,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
633,Sechura,PE,76.42,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
637,Jaggayyapeta,IN,80.76,clear sky,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
638,Fare,PF,82.11,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
639,Umm Lajj,SA,81.59,clear sky,25.0213,37.2685,Moon light Furnished Units
646,Upata,VE,84.78,scattered clouds,8.0086,-62.3989,Posada Villa Nela
647,Sarangani,PH,83.32,overcast clouds,5.4033,125.4636,Ballistic Islet
648,Quelimane,MZ,78.8,few clouds,-17.8786,36.8883,Hotel Flamingo
652,North Bend,US,78.01,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
653,Ceres,US,75.0,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
656,The Valley,AI,81.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
658,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
667,Camargo,MX,88.03,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
668,Ifo,NG,82.4,light rain,6.8144,3.1958,Peace Land Hotel
671,Cabedelo,BR,79.23,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
678,Fomboni,KM,82.72,light rain,-12.28,43.7425,Relais Singani
680,Sao Raimundo Das Mangabeiras,BR,79.83,overcast clouds,-7.0219,-45.4811,Hotel Tropical
683,Ternate,ID,81.27,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
690,Ugoofaaru,MV,83.21,overcast clouds,5.6667,73.0,Ungoofaaru Inn
