City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Lahat,ID,2021-04-12 21:41:25,-3.8,103.5333,71.53,95,100,2.08
239,Coihaique,CL,2021-04-12 21:41:26,-45.5752,-72.0662,60.8,51,40,11.5
240,Davila,PH,2021-04-12 21:41:26,18.4726,120.5763,71.6,94,20,2.3
241,Sao Felix Do Xingu,BR,2021-04-12 21:41:27,-6.6447,-51.995,77.83,84,66,3.02
242,Chipata,ZM,2021-04-12 21:41:27,-13.6333,32.65,63.61,92,99,5.32
243,Provideniya,RU,2021-04-12 21:39:38,64.3833,-173.3,19.18,86,100,15.14
244,Talnakh,RU,2021-04-12 21:41:27,69.4865,88.3972,21.18,95,100,8.81
245,Tomatlan,MX,2021-04-12 21:41:28,19.9333,-105.25,86.77,39,1,11.59
246,Worthing,GB,2021-04-12 21:41:28,50.8145,-0.3713,39.99,79,10,4.68
247,Sulangan,PH,2021-04-12 21:41:29,11.1373,123.7228,81.82,76,100,14.23
248,Arraial Do Cabo,BR,2021-04-12 21:39:55,-22.9661,-42.0278,82.4,61,0,9.22
249,Kruisfontein,ZA,2021-04-12 21:37:00,-34.0033,24.7314,66.0,94,80,4.36
250,Sokolo,ML,2021-04-12 21:41:30,14.7328,-6.1219,93.18,8,0,4.72
251,Walvis Bay,NA,2021-04-12 21:41:30,-22.9575,14.5053,86.0,25,0,12.66
252,Najran,SA,2021-04-12 21:41:30,17.4924,44.1277,78.8,19,20,4.61
253,Natal,BR,2021-04-12 21:41:31,-5.795,-35.2094,82.4,78,20,12.66
254,Srednekolymsk,RU,2021-04-12 21:41:31,67.45,153.6833,-7.28,90,52,3.87
255,Yurginskoye,RU,2021-04-12 21:41:31,56.8189,67.3921,35.82,70,1,4.65
256,Aban,RU,2021-04-12 21:41:32,56.67,96.06,33.08,98,100,10.25
257,Joao Pinheiro,BR,2021-04-12 21:36:38,-17.7425,-46.1725,69.76,50,1,3.36
258,Kargasok,RU,2021-04-12 21:40:28,59.0556,80.8572,28.72,93,14,8.03
259,Ocean Springs,US,2021-04-12 21:41:32,30.4113,-88.8278,78.01,53,1,11.5
260,Yumen,CN,2021-04-12 21:41:33,40.2833,97.2,33.96,85,79,5.7
261,Alamosa,US,2021-04-12 21:41:33,37.4695,-105.87,64.4,9,40,22.28
262,Ambunti,PG,2021-04-12 21:41:33,-4.2365,142.8448,74.77,97,93,0.13
