City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Samarai,PG,-10.6167,150.6667,82.53,80,79,9.89,broken clouds
236,Gillette,US,44.2911,-105.5022,37.4,70,90,11.5,light snow
237,Na Wa,TH,17.4897,104.1006,73.87,88,100,4.72,overcast clouds
238,Bengkulu,ID,-3.8004,102.2655,74.68,90,100,3.67,overcast clouds
239,Dandong,CN,40.1292,124.3947,43.34,70,95,4.56,overcast clouds
240,Montepuez,MZ,-13.1256,38.9997,69.37,85,93,8.79,overcast clouds
241,Juneau,US,58.3019,-134.4197,53.6,58,40,8.05,scattered clouds
242,Ahipara,NZ,-35.1667,173.1667,63.36,72,35,15.17,scattered clouds
243,Provideniya,RU,64.3833,-173.3,32.88,85,100,7.05,overcast clouds
244,Carauari,BR,-4.8828,-66.8958,75.47,95,91,1.01,heavy intensity rain
245,Hovd,MN,48.0056,91.6419,41.52,30,0,8.21,clear sky
246,Beaver Dam,US,43.4578,-88.8373,57.2,35,1,3.44,clear sky
247,Yurga,RU,55.7231,84.8861,29.79,92,99,10.69,overcast clouds
248,Santa Rita,BR,-7.1139,-34.9781,80.6,94,20,8.05,few clouds
249,Faya,SA,18.3851,42.4509,66.2,25,0,5.75,clear sky
250,Nuuk,GL,64.1835,-51.7216,14.0,62,75,4.61,light snow
251,Zeya,RU,53.75,127.2667,26.33,70,23,1.36,few clouds
252,Praya,CV,14.9215,-23.5087,71.6,73,40,23.02,scattered clouds
253,Juquitiba,BR,-23.9317,-47.0683,69.8,78,40,10.36,scattered clouds
254,Taltal,CL,-25.4,-70.4833,63.79,78,25,0.58,scattered clouds
255,Sindgi,IN,16.9167,76.2333,87.78,25,77,4.65,broken clouds
256,Roald,NO,62.5833,6.1333,39.99,80,0,4.61,clear sky
257,San Jose,US,37.3394,-121.895,71.01,34,1,8.05,clear sky
258,Guarapari,BR,-20.6667,-40.4975,75.2,78,20,8.05,few clouds
259,Tilichiki,RU,60.4667,166.1,24.35,87,100,9.78,light snow
260,Chokurdakh,RU,70.6333,147.9167,-2.45,96,92,7.47,overcast clouds
261,Lompoc,US,34.6391,-120.4579,59.0,72,2,18.41,clear sky
262,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,73,0,6.91,clear sky
263,Auki,SB,-8.7676,160.7034,82.13,77,23,3.04,few clouds
264,Kuala Terengganu,MY,5.3302,103.1408,78.8,94,20,3.44,few clouds
265,Beringovskiy,RU,63.05,179.3167,32.2,95,100,10.16,overcast clouds
266,Lahij,YE,13.1667,44.5833,75.27,60,0,4.79,clear sky
267,Old Shinyanga,TZ,-3.55,33.4,65.61,94,100,7.47,overcast clouds
268,Tonstad,NO,58.6626,6.7169,41.0,82,95,8.88,overcast clouds
269,Asau,RO,46.4333,26.4,46.4,49,0,6.91,clear sky
270,Aleksandrovka,UA,46.8383,32.7612,41.95,86,53,7.9,broken clouds
271,Longyearbyen,SJ,78.2186,15.6401,14.0,62,20,11.5,few clouds
272,Ancud,CL,-41.8697,-73.8203,61.0,88,75,5.75,broken clouds
273,Chiredzi,ZW,-21.05,31.6667,63.63,79,92,11.52,overcast clouds
274,Pathein,MM,16.7833,94.7333,74.68,78,93,3.53,overcast clouds
275,Logan Lake,CA,50.4998,-120.8025,73.99,21,1,3.44,clear sky
276,Okato,NZ,-39.2,173.8833,55.0,74,36,7.0,scattered clouds
277,Pogranichnyy,RU,44.4064,131.3769,41.85,57,4,5.93,clear sky
278,Elat,IL,29.5581,34.9482,77.0,33,0,6.91,clear sky
279,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,40,9.22,scattered clouds
280,Collie,AU,-33.3667,116.15,50.0,90,23,4.5,few clouds
281,Algiers,DZ,36.7525,3.042,51.8,93,40,5.46,scattered clouds
282,Vuktyl,RU,63.8567,57.3094,33.44,85,100,13.33,light snow
283,Fukue,JP,32.6881,128.8419,59.81,85,100,6.78,light rain
284,Neka,IR,36.6508,53.299,55.22,74,1,3.85,clear sky
285,Webb City,US,37.1465,-94.463,51.8,87,90,3.44,light rain
286,Ostersund,SE,63.1792,14.6357,39.2,65,100,6.91,overcast clouds
287,Goderich,CA,43.7501,-81.7165,37.4,87,100,16.11,overcast clouds
288,Santa Maria,BR,-29.6842,-53.8069,75.2,83,40,2.3,scattered clouds
289,Codrington,AU,-38.2667,141.9667,52.77,75,100,6.22,overcast clouds
290,Kalmar,SE,56.6616,16.3616,44.6,53,71,16.11,broken clouds
291,Heinola,FI,61.2056,26.0381,42.8,39,0,11.5,clear sky
292,Boa Vista,BR,2.8197,-60.6733,80.6,78,75,4.61,light rain
293,Madison,US,34.7334,-86.5667,64.99,32,40,4.23,scattered clouds
294,Byumba,RW,-1.5763,30.0675,64.4,82,75,3.44,broken clouds
295,Healesville,AU,-37.65,145.5167,50.0,89,53,1.99,broken clouds
296,Lucea,JM,18.451,-78.1736,82.99,74,40,17.27,scattered clouds
